,ID_Person,age,race,sex,educ,hhinc,hhtrips,hhsize,companions,wrkhrs,hhveh,distance,cluster
0,200002481.0,61.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,40.0,1.0,3.851,0.0
1,200002481.0,61.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,40.0,1.0,3.848,0.0
2,200034841.0,30.0,1.0,2.0,3.0,8.0,10.0,2.0,1.0,40.0,1.0,3.574,0.0
3,200034841.0,30.0,1.0,2.0,3.0,8.0,10.0,2.0,1.0,40.0,1.0,17.24,0.0
4,200034841.0,30.0,1.0,2.0,3.0,8.0,10.0,2.0,1.0,40.0,1.0,3.001,0.0
5,200034841.0,30.0,1.0,2.0,3.0,8.0,10.0,2.0,1.0,40.0,1.0,3.286,0.0
6,200061451.0,36.0,1.0,1.0,5.0,9.0,10.0,1.0,2.0,45.0,1.0,6.408,2.0
7,300006031.0,30.0,1.0,1.0,6.0,9.0,4.0,1.0,0.0,40.0,0.0,1.289,2.0
8,300006461.0,54.0,1.0,2.0,3.0,7.0,3.0,1.0,0.0,50.0,1.0,5.918,0.0
9,300006461.0,54.0,1.0,2.0,3.0,7.0,3.0,1.0,0.0,50.0,1.0,6.44,0.0
10,300013712.0,67.0,1.0,1.0,5.0,8.0,7.0,2.0,0.0,15.0,2.0,8.366,2.0
11,300020952.0,42.0,1.0,2.0,6.0,10.0,9.0,2.0,0.0,40.0,2.0,0.446,0.0
12,300034083.0,44.0,97.0,1.0,1.0,5.0,4.0,4.0,1.0,40.0,2.0,28.801,2.0
13,300036141.0,47.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,15.0,0.0,6.918,2.0
14,300036141.0,47.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,15.0,0.0,6.266,2.0
15,300043701.0,29.0,2.0,1.0,5.0,1.0,3.0,1.0,3.0,40.0,0.0,20.357,2.0
16,300043701.0,29.0,2.0,1.0,5.0,1.0,3.0,1.0,3.0,40.0,0.0,19.298,2.0
17,300056221.0,65.0,2.0,2.0,6.0,1.0,11.0,1.0,0.0,40.0,0.0,1.96,0.0
18,300061391.0,29.0,6.0,2.0,6.0,6.0,12.0,1.0,1.0,60.0,1.0,16.539,0.0
19,300063661.0,34.0,1.0,2.0,6.0,9.0,3.0,1.0,0.0,45.0,1.0,1.179,0.0
20,300071424.0,16.0,1.0,2.0,1.0,9.0,17.0,4.0,3.0,40.0,1.0,12.029,1.0
21,300071424.0,16.0,1.0,2.0,1.0,9.0,17.0,4.0,3.0,40.0,1.0,21.373,1.0
22,300086734.0,18.0,1.0,1.0,1.0,10.0,8.0,4.0,2.0,20.0,4.0,1.857,1.0
23,300099621.0,73.0,1.0,2.0,2.0,7.0,6.0,1.0,0.0,40.0,1.0,1.756,0.0
24,300099621.0,73.0,1.0,2.0,2.0,7.0,6.0,1.0,0.0,40.0,1.0,2.075,0.0
25,300099621.0,73.0,1.0,2.0,2.0,7.0,6.0,1.0,0.0,40.0,1.0,6.092,0.0
26,300099621.0,73.0,1.0,2.0,2.0,7.0,6.0,1.0,0.0,40.0,1.0,6.113,0.0
27,300099621.0,73.0,1.0,2.0,2.0,7.0,6.0,1.0,0.0,40.0,1.0,2.685,0.0
28,300099621.0,73.0,1.0,2.0,2.0,7.0,6.0,1.0,0.0,40.0,1.0,2.785,0.0
29,300106991.0,25.0,3.0,1.0,5.0,1.0,14.0,2.0,2.0,40.0,1.0,2.008,2.0
30,300106991.0,25.0,3.0,1.0,5.0,1.0,14.0,2.0,2.0,40.0,1.0,2.505,2.0
31,300106991.0,25.0,3.0,1.0,5.0,1.0,14.0,2.0,2.0,40.0,1.0,1.351,2.0
32,300106991.0,25.0,3.0,1.0,5.0,1.0,14.0,2.0,2.0,40.0,1.0,1.47,2.0
33,300106991.0,25.0,3.0,1.0,5.0,1.0,14.0,2.0,2.0,40.0,1.0,2.571,2.0
